16.4,20.11,0.699,8.07,0.0105
19.8,15.3,0.981,5.11,0.0182,Nanocrystalline Diamond Thermal Spreader
18.5,14.5,1.65,6.1,0.0531,Nanocrystalline Diamond Thermal Spreader
18.0,16.5,1.23,5.05,0.0295,Zirconium Dioxide Ceramic Heat Sink
18.7,15.8,1.16,7.02,0.0259,Zirconium Dioxide Ceramic Heat Sink
17.7,14.6,0.653,4.6,0.00949,Zirconium Dioxide Ceramic Heat Sink
18.9,17.2,1.48,4.4,0.0421,Boron Nitride Nanotube Composite
20.2,17.5,0.985,4.85,0.0184,Zirconium Dioxide Ceramic Heat Sink
17.5,16.0,0.833,4.34,0.015,Zirconium Dioxide Ceramic Heat Sink
17.2,15.5,1.07,5.11,0.0242,Zirconium Dioxide Ceramic Heat Sink
18.2,16.0,1.02,3.25,0.0212,Zirconium Dioxide Ceramic Heat Sink
20.7,17.6,0.904,4.86,0.0158,Zirconium Dioxide Ceramic Heat Sink
18.0,13.5,1.1,6.37,0.0235,Zirconium Dioxide Ceramic Heat Sink
18.1,14.3,0.913,3.24,0.0177,Zirconium Dioxide Ceramic Heat Sink
18.6,14.2,1.1,2.78,0.0234,Graphene-Coated Carbon Fiber Sheet
17.6,15.5,1.07,7.13,0.0223,Zirconium Dioxide Ceramic Heat Sink
17.1,15.6,0.94,6.37,0.0177,Zirconium Dioxide Ceramic Heat Sink
17.3,15.6,0.427,6.66,0.00445,Zirconium Dioxide Ceramic Heat Sink
20.6,13.1,1.16,7.19,0.025,Zirconium Dioxide Ceramic Heat Sink
17.8,12.7,0.653,5.28,0.00898,Zirconium Dioxide Ceramic Heat Sink
18.3,17.2,1.63,7.49,0.0558,Graphene-Coated Carbon Fiber Sheet
20.2,12.2,1.06,7.19,0.0218,Zirconium Dioxide Ceramic Heat Sink
19.0,18.8,0.712,4.98,0.0105,Zirconium Dioxide Ceramic Heat Sink
16.7,14.9,1.7,3.02,0.0583,Nanocrystalline Diamond Thermal Spreader
16.6,16.4,2.92,5.21,0.159,Boron Nitride Nanotube Composite
17.1,12.3,0.811,4.7,0.0131,Zirconium Dioxide Ceramic Heat Sink
18.9,18.0,1.02,7.9,0.02,Nanocrystalline Diamond Thermal Spreader
16.2,16.3,0.461,3.71,0.00548,Zirconium Dioxide Ceramic Heat Sink
17.0,17.1,1.5,7.52,0.0516,Graphene-Coated Carbon Fiber Sheet
18.8,12.3,1.67,2.55,0.0537,Nanocrystalline Diamond Thermal Spreader
17.9,12.8,1.54,2.46,0.0484,Nanocrystalline Diamond Thermal Spreader
19.0,12.1,1.27,7.82,0.0305,Silicon Oxycarbide Shield Tile
16.6,13.6,2.32,6.99,0.107,Graphene Nanoplatelet Thermal Interface Material
20.1,16.7,1.13,9.16,0.0242,Zirconium Dioxide Ceramic Heat Sink
19.1,16.8,1.04,9.11,0.0204,Zirconium Dioxide Ceramic Heat Sink
16.7,17.2,3.28,5.16,0.193,Boron Nitride Nanotube Composite
16.0,16.7,2.81,5.19,0.151,Boron Nitride Nanotube Composite
16.7,17.8,1.26,7.08,0.0308,Zirconium Dioxide Ceramic Heat Sink
16.1,14.4,3.48,5.77,0.262,Boron Nitride Nanotube Composite
16.3,16.8,1.31,2.56,0.0397,Nanocrystalline Diamond Thermal Spreader
15.6,16.3,2.77,4.55,0.15,Silicon Oxycarbide Shield Tile
17.4,15.2,1.35,9.26,0.0366,Graphene-Coated Carbon Fiber Sheet
18.0,19.0,3.14,5.06,0.181,Boron Nitride Nanotube Composite
16.4,17.0,1.35,2.26,0.0358,Boron Nitride Nanotube Composite
17.3,16.2,0.578,9.28,0.00686,Zirconium Dioxide Ceramic Heat Sink
18.9,14.2,0.813,9.95,0.0139,Zirconium Dioxide Ceramic Heat Sink
16.6,18.7,2.57,5.06,0.136,Boron Nitride Nanotube Composite
17.1,11.1,0.656,4.24,0.0102,Zirconium Dioxide Ceramic Heat Sink
19.3,18.0,0.68,9.28,0.00986,Zirconium Dioxide Ceramic Heat Sink
18.2,16.5,1.12,9.78,0.0261,Zirconium Dioxide Ceramic Heat Sink
14.8,16.5,1.01,5.31,0.0241,Graphene-Coated Carbon Fiber Sheet
15.9,14.1,1.2,2.0,0.0266,Graphene-Coated Carbon Fiber Sheet
16.4,15.0,2.61,8.75,0.139,Boron Nitride Nanotube Composite
17.9,15.8,0.723,9.97,0.0121,Zirconium Dioxide Ceramic Heat Sink
15.1,14.9,3.21,5.74,0.238,Boron Nitride Nanotube Composite
